deg4_strategy0043 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0063 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0097 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0024 14500.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0023 14500.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0061 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0093 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0035 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0038 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0037 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0071 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0068 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0005 10225.0 m0=5;S1:2|2|2|2;S3:4|4
deg4_strategy0038 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0046 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0041 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0073 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0033 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0064 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0048 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0032 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0068 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0044 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0100 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0035 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0069 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0036 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0041 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0039 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0100 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0098 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0030 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0046 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0033 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0009 10225.0 m0=5;S1:2|2|2|2;S3:4|4
deg4_strategy0099 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0040 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0065 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0077 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0032 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0043 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0061 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0063 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0038 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0038 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0005 10225.0 m0=5;S1:2|2|2|2;S3:4|4
deg4_strategy0046 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0097 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0037 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0093 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0035 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0068 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0041 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0068 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0024 14500.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0071 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0046 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0023 14500.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0040 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0064 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0033 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0073 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0032 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0044 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0041 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0035 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0030 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0069 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0100 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0048 17025.0 m0=5;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0009 10225.0 m0=5;S1:2|2|2|2;S3:4|4
deg4_strategy0098 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0100 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0099 25575.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0077 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0032 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0033 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0036 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0065 21900.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0039 16325.0 m0=5;S1:1|1|1|1|1|1|1|1;S3:4|4
deg4_strategy0061 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0043 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0063 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0038 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0038 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0046 21400.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0005 8750.0 m0=5;S1:4|4;S3:4|4
deg4_strategy0037 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0041 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0093 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0035 18600.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0097 36800.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:1|1|1|1|1|1|1|1
deg4_strategy0068 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0040 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0064 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0068 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0046 21400.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0041 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0023 17200.0 m0=8;S1:4|4;S3:2|2|2|2
deg4_strategy0030 17775.0 m0=6;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0024 17200.0 m0=8;S1:4|4;S3:2|2|2|2
deg4_strategy0071 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0073 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0033 18600.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0032 17775.0 m0=6;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0100 36800.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:1|1|1|1|1|1|1|1
deg4_strategy0044 21400.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0048 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0069 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0035 18600.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0009 10350.0 m0=8;S1:4|4;S3:4|4
deg4_strategy0098 36800.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:1|1|1|1|1|1|1|1
deg4_strategy0032 17775.0 m0=6;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0099 36800.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:1|1|1|1|1|1|1|1
deg4_strategy0033 18600.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0077 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0100 36800.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:1|1|1|1|1|1|1|1
deg4_strategy0036 17775.0 m0=6;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0065 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0039 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0061 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0063 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0043 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0038 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0037 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0038 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0046 21400.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0005 8750.0 m0=5;S1:4|4;S3:4|4
deg4_strategy0035 18600.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0040 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0097 36800.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:1|1|1|1|1|1|1|1
deg4_strategy0068 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0093 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0041 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0068 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0030 17775.0 m0=6;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0041 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0023 17200.0 m0=8;S1:4|4;S3:2|2|2|2
deg4_strategy0024 17200.0 m0=8;S1:4|4;S3:2|2|2|2
deg4_strategy0046 21400.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0064 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0033 18600.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0100 36800.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:1|1|1|1|1|1|1|1
deg4_strategy0071 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0048 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0073 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0032 17775.0 m0=6;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0044 21400.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0069 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0035 18600.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0098 36800.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:1|1|1|1|1|1|1|1
deg4_strategy0009 10350.0 m0=8;S1:4|4;S3:4|4
deg4_strategy0099 36800.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:1|1|1|1|1|1|1|1
deg4_strategy0033 18600.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0077 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0032 17775.0 m0=6;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0100 36800.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:1|1|1|1|1|1|1|1
deg4_strategy0065 23950.0 m0=8;S1:1|1|1|1|1|1|1|1;S3:2|2|2|2
deg4_strategy0061 22800.0 m0=8;S1:2|2|2|2;S3:1|1|1|1|1|1|1|1
deg4_strategy0039 20700.0 m0=8;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0036 17775.0 m0=6;S1:2|2|2|2;S3:2|2|2|2
deg4_strategy0063 22800.0 m0=8;S1:2|2|2|2;S3:1|1|1|1|1|1|1|1
deg4_strategy0037 18400.0 m0=8;S1:4|4;S3:1|1|1|1|1|1|1|1
deg4_strategy0038 20600.0 m0=8;S1:4|4;S3:1|1|1|1|1|1|1|1
deg4_strategy0043 20600.0 m0=8;S1:4|4;S3:1|1|1|1|1|1|1|1
deg4_strategy0035 18400.0 m0=8;S1:4|4;S3:1|1|1|1|1|1|1|1
deg4_strategy0005 7375.0 m0=5;S1:4|4;S3:4|4
deg4_strategy0038 20600.0 m0=8;S1:4|4;S3:1|1|1|1|1|1|1|1
